"Tail_Number","YEAR","YEAR_MFR","AGE","AIR_TIME","FLIGHTS_ANNUAL","FLIGHTS","DISTANCE","TOT_CARRIER_DELAY","TOT_LATE_AIRCRAFT_DELAY","COUNT_CARRIER_DELAY","COUNT_LATE_AIRCRAFT_DELAY","CARRIER_DELAY_30","LATE_AIRCRAFT_DELAY_30","COUNT_CARRIER_DELAY_30","COUNT_LATE_AIRCRAFT_DELAY_30","COUNT_CARRIER_CANCELLATION","STATE","REGION","TYPE_AIRCRAFT","TYPE_ENGINE","TYPE_REGISTRANT","CARRIER_DELAY_30_RATIO","COUNT_CARRIER_DELAY_30_RATIO","LATE_AIRCRAFT_DELAY_30_RATIO","COUNT_LATE_AIRCRAFT_DELAY_30_RATIO","TOTAL_DELAY_RATE","Proportion_Cancelled"
"757UW",2015,2000,15,1819224,1374,23426,11733474,3827,4094,123,91,2831,3390,49,44,0,"UT","S",5,5,3,2.06040756914119,0.0356622998544396,2.46724890829694,0.0320232896652111,0.0676855895196507,0
"757UW",2016,2000,16,1936418,1122,24548,12559445,3403,2750,74,61,2819,2337,32,35,0,"UT","S",5,5,3,2.51247771836007,0.0285204991087344,2.08288770053476,0.0311942959001782,0.0597147950089127,0
"757UW",2018,2000,18,2072819,1380,25928,13530481,3262,4423,98,92,2494,3600,47,40,16,"UT","S",5,5,3,1.80724637681159,0.0340579710144927,2.60869565217391,0.0289855072463768,0.0630434782608696,0.000617093489663684
"757UW",2019,2000,19,2238761,1585,27513,14712726,7175,9368,149,154,5975,8078,61,70,6,"UT","S",5,5,3,3.76971608832808,0.0384858044164038,5.09652996845426,0.0441640378548896,0.0826498422712934,0.000218078726420238
"757UW",2020,2000,20,2340077,897,28410,15474626,1718,2837,51,35,1239,2503,23,14,0,"UT","S",5,5,3,1.38127090301003,0.0256410256410256,2.79041248606466,0.0156075808249721,0.0412486064659978,0
"757UW",2021,2000,21,2464315,1229,29639,16363460,6935,6415,143,112,5757,5789,60,66,11,"UT","S",5,5,3,4.68429617575264,0.048820179007323,4.71033360455655,0.0537021969080553,0.102522375915378,0.000371132629305982
"757UW",2022,2000,22,2592307,1387,31026,17285297,11677,14006,186,181,10112,13309,76,100,31,"UT","S",5,5,3,7.29055515501081,0.0547945205479452,9.59552992069214,0.0720980533525595,0.126892573900505,0.000999161993167021
"757UW",2023,2000,23,2722315,1396,32422,18188345,12389,13087,180,183,11198,11959,70,100,7,"UT","S",5,5,3,8.02148997134671,0.0501432664756447,8.56661891117479,0.0716332378223496,0.121776504297994,0.000215902782061563
"757UW",2024,2000,24,2761403,458,32880,18452620,2789,6801,53,83,2460,6288,26,39,1,"UT","S",5,5,3,5.37117903930131,0.0567685589519651,13.7292576419214,0.0851528384279476,0.141921397379913,3.04136253041363e-05
"75851",2002,2001,1,187953,1273,1279,1435836,0,0,0,0,0,0,0,0,0,"IL","C",5,5,3,0,0,0,0,0,0
"75851",2003,2001,2,362463,1138,2417,2777457,1048,1785,28,36,818,1501,12,18,0,"IL","C",5,5,3,0.718804920913884,0.0105448154657293,1.31898066783831,0.015817223198594,0.0263620386643234,0
"75851",2004,2001,3,552176,1173,3590,4260107,3252,6378,100,134,2187,5328,34,65,0,"IL","C",5,5,3,1.86445012787724,0.0289855072463768,4.54219948849105,0.0554134697357204,0.0843989769820972,0
"75851",2005,2001,4,751772,1177,4767,5829777,3327,3833,91,91,2582,3081,44,54,0,"IL","C",5,5,3,2.19371282922685,0.0373831775700935,2.61767204757859,0.0458793542905693,0.0832625318606627,0
"75851",2006,2001,5,940659,1122,5889,7292010,3176,5521,89,118,2324,4575,39,62,0,"IL","C",5,5,3,2.07130124777184,0.03475935828877,4.07754010695187,0.0552584670231729,0.090017825311943,0
"75851",2007,2001,6,1119782,1043,6932,8685252,3656,5189,92,98,2933,4498,44,53,0,"IL","C",5,5,3,2.81208053691275,0.0421860019175455,4.31255992329818,0.0508149568552253,0.0930009587727709,0
"75851",2008,2001,7,1300794,1036,7968,10091555,2786,5455,82,97,2137,4826,33,54,0,"IL","C",5,5,3,2.06274131274131,0.0318532818532819,4.65830115830116,0.0521235521235521,0.083976833976834,0
"75851",2009,2001,8,1460163,837,8805,11352177,3766,4164,91,76,2898,3558,33,39,0,"IL","C",5,5,3,3.46236559139785,0.039426523297491,4.25089605734767,0.046594982078853,0.0860215053763441,0
"75851",2010,2001,9,1627433,906,9711,12661922,4091,3391,102,57,3034,3029,39,30,0,"IL","C",5,5,3,3.34878587196468,0.043046357615894,3.34326710816777,0.033112582781457,0.076158940397351,0
"75851",2011,2001,10,1798307,929,10640,14003483,4180,3473,120,80,2876,2556,47,32,0,"IL","C",5,5,3,3.09580193756728,0.0505920344456405,2.751345532831,0.0344456404736276,0.085037674919268,0
"75851",2012,2001,11,1937424,774,11414,15096959,4921,5167,135,85,3621,4556,55,38,0,"IL","C",5,5,3,4.67829457364341,0.0710594315245478,5.88630490956072,0.0490956072351421,0.12015503875969,0
"75851",2013,2001,12,2048292,541,11955,15988689,3171,3789,97,70,2343,3281,43,40,1,"IL","C",5,5,3,4.33086876155268,0.0794824399260629,6.06469500924214,0.0739371534195934,0.153419593345656,8.36470096194061e-05
"75851",2014,2001,13,2220819,752,12707,17393819,5231,3921,163,82,3489,3323,58,31,0,"IL","C",5,5,3,4.63962765957447,0.0771276595744681,4.41888297872341,0.0412234042553192,0.118351063829787,0
"75851",2015,2001,14,2403247,728,13435,18901928,3428,3615,102,53,2270,3346,37,28,1,"IL","C",5,5,3,3.11813186813187,0.0508241758241758,4.59615384615385,0.0384615384615385,0.0892857142857143,7.44324525493115e-05
"75851",2016,2001,15,2585025,877,14312,20378285,4240,9422,134,131,3094,8776,54,58,0,"IL","C",5,5,3,3.52793614595211,0.0615735461801596,10.0068415051311,0.0661345496009122,0.127708095781072,0
"75851",2017,2001,16,2743461,797,15109,21654184,4654,6290,92,81,3866,5770,41,44,0,"IL","C",5,5,3,4.85069008782936,0.0514429109159348,7.2396486825596,0.055207026348808,0.106649937264743,0
"75851",2018,2001,17,2912538,834,15943,23018383,3356,7780,101,93,2421,7334,49,49,1,"IL","C",5,5,3,2.90287769784173,0.0587529976019185,8.79376498800959,0.0587529976019185,0.117505995203837,6.27234522988145e-05
"75851",2019,2001,18,3080420,823,16766,24375377,4937,11407,123,133,3980,10721,64,69,0,"IL","C",5,5,3,4.8359659781288,0.0777642770352369,13.0267314702309,0.0838396111786148,0.161603888213852,0
"75851",2020,2001,19,3166224,499,17265,25048233,2457,1701,32,17,2266,1600,15,7,0,"IL","C",5,5,3,4.54108216432866,0.030060120240481,3.2064128256513,0.0140280561122245,0.0440881763527054,0
"75851",2021,2001,20,3316161,811,18076,26239982,4610,5144,86,64,3870,4773,37,24,0,"IL","C",5,5,3,4.77188655980271,0.0456226880394575,5.88532675709001,0.029593094944513,0.0752157829839704,0
"75851",2022,2001,21,3438190,625,18701,27220693,3040,3548,73,43,2419,3340,38,22,1,"IL","C",5,5,3,3.8704,0.0608,5.344,0.0352,0.096,5.34730763060799e-05
"75851",2023,2001,22,3621101,968,19669,28681890,5519,9947,162,104,3800,9345,66,54,0,"IL","C",5,5,3,3.92561983471074,0.0681818181818182,9.65392561983471,0.0557851239669422,0.12396694214876,0
"75851",2024,2001,23,3663672,222,19891,29026887,3620,4049,47,39,3157,3868,14,26,0,"IL","C",5,5,3,14.2207207207207,0.0630630630630631,17.4234234234234,0.117117117117117,0.18018018018018,0
"75853",2002,2002,0,153969,1081,1081,1176175,0,0,0,0,0,0,0,0,0,"IL","C",5,5,3,0,0,0,0,0,0
"75853",2003,2002,1,335747,1159,2240,2572171,556,1180,17,26,408,857,6,7,0,"IL","C",5,5,3,0.352027610008628,0.00517687661777394,0.739430543572045,0.00603968938740293,0.0112165660051769,0
"75853",2004,2002,2,530360,1189,3429,4095663,3482,4400,87,104,2699,3372,29,43,0,"IL","C",5,5,3,2.26997476871321,0.024390243902439,2.83599663582843,0.0361648444070648,0.0605550883095038,0
"75853",2005,2002,3,729361,1165,4594,5655451,2941,4319,84,105,2045,3162,31,46,0,"IL","C",5,5,3,1.75536480686695,0.0266094420600858,2.71416309012875,0.0394849785407725,0.0660944206008584,0
"75853",2006,2002,4,920291,1110,5704,7138112,3615,7330,95,129,2772,6456,39,60,0,"IL","C",5,5,3,2.4972972972973,0.0351351351351351,5.81621621621622,0.0540540540540541,0.0891891891891892,0
"75853",2007,2002,5,1115314,1100,6804,8657899,4335,9629,115,145,3269,8680,47,72,0,"IL","C",5,5,3,2.97181818181818,0.0427272727272727,7.89090909090909,0.0654545454545455,0.108181818181818,0
"75853",2008,2002,6,1302657,1042,7846,10123780,3364,5810,102,98,2172,5120,31,53,0,"IL","C",5,5,3,2.08445297504799,0.0297504798464491,4.91362763915547,0.0508637236084453,0.0806142034548944,0
"75853",2009,2002,7,1482683,1003,8849,11533020,4608,5388,95,76,3691,4857,40,37,0,"IL","C",5,5,3,3.67996011964108,0.0398803589232303,4.84247258225324,0.036889332003988,0.0767696909272183,0
"75853",2010,2002,8,1641014,849,9698,12779285,3559,3065,78,58,2872,2561,38,25,0,"IL","C",5,5,3,3.38280329799764,0.0447585394581861,3.01648998822144,0.0294464075382803,0.0742049469964664,0
"75853",2011,2002,9,1812659,930,10628,14120382,3093,4296,93,79,2158,3662,37,40,0,"IL","C",5,5,3,2.32043010752688,0.0397849462365591,3.93763440860215,0.0430107526881721,0.0827956989247312,0
"75853",2012,2002,10,1954162,778,11406,15236951,4816,4544,131,88,3538,3829,49,37,0,"IL","C",5,5,3,4.54755784061697,0.0629820051413882,4.92159383033419,0.0475578406169666,0.110539845758355,0
"75853",2013,2002,11,2049577,474,11880,16002085,2383,1814,80,47,1547,1288,28,18,0,"IL","C",5,5,3,3.26371308016878,0.0590717299578059,2.71729957805907,0.0379746835443038,0.0970464135021097,0
"75853",2014,2002,12,2217289,722,12602,17367000,4393,4092,132,69,2989,3580,58,30,0,"IL","C",5,5,3,4.1398891966759,0.0803324099722992,4.9584487534626,0.0415512465373961,0.121883656509695,0
"75853",2015,2002,13,2352876,551,13153,18491520,2938,4379,95,73,1998,3924,38,34,1,"IL","C",5,5,3,3.62613430127042,0.0689655172413793,7.12159709618875,0.0617059891107078,0.130671506352087,7.60282825210978e-05
"75853",2016,2002,14,2535259,879,14032,19965449,5435,10714,129,120,4283,10301,60,62,0,"IL","C",5,5,3,4.87258248009101,0.068259385665529,11.7189988623436,0.0705346985210466,0.138794084186576,0
"75853",2017,2002,15,2715151,893,14925,21415887,2845,5341,86,78,1984,4853,39,35,0,"IL","C",5,5,3,2.22172452407615,0.0436730123180291,5.43449048152296,0.0391937290033595,0.0828667413213886,0
"75853",2018,2002,16,2871625,803,15728,22674016,4713,7201,90,94,4143,6627,40,47,0,"IL","C",5,5,3,5.15940224159402,0.049813200498132,8.25280199252802,0.0585305105853051,0.108343711083437,0
"75853",2019,2002,17,3039281,837,16565,24030460,8391,10737,112,120,7490,10070,49,63,1,"IL","C",5,5,3,8.94862604540024,0.0585424133811231,12.0310633213859,0.0752688172043011,0.133811230585424,6.03682463024449e-05
"75853",2020,2002,18,3113814,416,16981,24618808,886,847,19,12,738,701,10,3,0,"IL","C",5,5,3,1.77403846153846,0.0240384615384615,1.68509615384615,0.00721153846153846,0.03125,0
"75853",2021,2002,19,3258273,824,17805,25762307,3391,4947,98,66,2380,4544,47,27,1,"IL","C",5,5,3,2.88834951456311,0.0570388349514563,5.51456310679612,0.0327669902912621,0.0898058252427184,5.616399887672e-05
"75853",2022,2002,20,3370770,571,18376,26660953,3844,5561,83,56,2991,5342,31,28,0,"IL","C",5,5,3,5.23817863397548,0.0542907180385289,9.35551663747811,0.0490367775831874,0.103327495621716,0
"75853",2023,2002,21,3532915,873,19249,27957125,5605,5928,137,90,4454,5311,57,38,0,"IL","C",5,5,3,5.10194730813287,0.0652920962199313,6.0836197021764,0.0435280641466209,0.108820160366552,0
"75853",2024,2002,22,3602027,338,19587,28504393,1513,1917,47,32,1115,1777,19,18,0,"IL","C",5,5,3,3.29881656804734,0.0562130177514793,5.25739644970414,0.0532544378698225,0.109467455621302,0
"75854",2002,2002,0,157228,1099,1099,1196230,0,0,0,0,0,0,0,0,0,"IL","C",5,5,3,0,0,0,0,0,0
"75854",2003,2002,1,333875,1132,2231,2551806,945,1380,29,30,730,1122,18,18,0,"IL","C",5,5,3,0.644876325088339,0.0159010600706714,0.991166077738516,0.0159010600706714,0.0318021201413428,0
"75854",2004,2002,2,527273,1193,3424,4060242,3519,5626,77,104,2899,4833,40,53,0,"IL","C",5,5,3,2.43000838222967,0.0335289186923722,4.05113160100587,0.0444258172673931,0.0779547359597653,0
"75854",2005,2002,3,723321,1154,4578,5601814,2898,4545,93,94,2108,3759,39,44,0,"IL","C",5,5,3,1.82668977469671,0.0337954939341421,3.25736568457539,0.0381282495667244,0.0719237435008666,0
"75854",2006,2002,4,907480,1082,5660,7024951,3715,7052,108,127,2644,5906,42,57,0,"IL","C",5,5,3,2.44362292051756,0.0388170055452865,5.45841035120148,0.0526802218114603,0.0914972273567468,0
"75854",2007,2002,5,1092293,1047,6707,8462496,5058,7916,102,124,4146,7107,51,64,0,"IL","C",5,5,3,3.95988538681948,0.0487106017191977,6.78796561604585,0.061127029608405,0.109837631327603,0
"75854",2008,2002,6,1283261,1086,7793,9941479,3069,5950,98,100,2157,5261,45,53,0,"IL","C",5,5,3,1.98618784530387,0.0414364640883978,4.84438305709024,0.0488029465930018,0.0902394106813996,0
"75854",2009,2002,7,1454725,939,8732,11282961,4558,2657,83,58,3845,2163,37,30,0,"IL","C",5,5,3,4.09478168264111,0.0394036208732694,2.30351437699681,0.0319488817891374,0.0713525026624068,0
"75854",2010,2002,8,1621856,938,9670,12589136,2620,2576,89,61,1791,2003,37,29,0,"IL","C",5,5,3,1.90938166311301,0.0394456289978678,2.13539445628998,0.0309168443496802,0.070362473347548,0
"75854",2011,2002,9,1775924,854,10524,13793246,4303,4528,107,81,3292,3798,43,28,1,"IL","C",5,5,3,3.85480093676815,0.0503512880562061,4.44730679156909,0.0327868852459016,0.0831381733021077,9.50209045990118e-05
"75854",2012,2002,10,1909340,755,11279,14844549,4537,5328,125,84,3249,4677,53,38,1,"IL","C",5,5,3,4.30331125827815,0.0701986754966887,6.19470198675497,0.0503311258278146,0.120529801324503,8.8660342228921e-05
"75854",2013,2002,11,2022012,569,11848,15736766,3421,3088,94,64,2378,2672,32,30,0,"IL","C",5,5,3,4.1792618629174,0.0562390158172232,4.69595782073814,0.0527240773286467,0.10896309314587,0
"75854",2014,2002,12,2179686,684,12532,17018445,5308,2856,148,71,3833,2262,55,36,0,"IL","C",5,5,3,5.60380116959064,0.0804093567251462,3.30701754385965,0.0526315789473684,0.133040935672515,0
"75854",2015,2002,13,2369814,767,13299,18586212,4948,5006,126,72,3837,4709,59,36,0,"IL","C",5,5,3,5.0026075619296,0.0769230769230769,6.13950456323338,0.0469361147327249,0.123859191655802,0
"75854",2016,2002,14,2552763,892,14191,20063118,5259,7885,143,117,4061,7319,63,59,0,"IL","C",5,5,3,4.55269058295964,0.070627802690583,8.20515695067265,0.0661434977578475,0.13677130044843,0
"75854",2017,2002,15,2716209,832,15023,21369610,3247,6748,88,89,2585,6216,45,41,0,"IL","C",5,5,3,3.10697115384615,0.0540865384615385,7.47115384615385,0.0492788461538462,0.103365384615385,0
"75854",2018,2002,16,2862289,758,15781,22541697,3279,6975,90,77,2485,6609,40,37,0,"IL","C",5,5,3,3.27836411609499,0.0527704485488127,8.71899736147757,0.0488126649076517,0.101583113456464,0
